iter	Passed	Remaining
0	56	56695
1	59	29608
2	63	21076
3	67	16725
4	70	13953
5	72	11945
6	74	10528
7	76	9505
8	80	8812
9	81	8055
10	84	7583
11	88	7246
12	90	6868
13	92	6534
14	94	6234
15	96	5950
16	99	5751
17	101	5541
18	103	5355
19	105	5189
20	108	5066
21	111	4937
22	112	4781
23	114	4666
24	117	4565
25	119	4463
26	121	4361
27	122	4239
28	123	4138
29	125	4061
30	127	4000
31	130	3950
32	132	3873
33	134	3813
34	136	3757
35	138	3708
36	140	3662
37	142	3609
38	144	3554
39	146	3519
40	149	3485
41	150	3439
42	152	3401
43	154	3359
44	156	3324
45	158	3287
46	160	3263
47	163	3247
48	165	3215
49	167	3191
50	170	3164
51	172	3137
52	174	3121
53	177	3107
54	179	3089
55	182	3082
56	183	3041
57	185	3017
58	188	3000
59	192	3008
60	194	2995
61	196	2978
62	199	2966
63	201	2950
64	203	2928
65	205	2906
66	207	2888
67	209	2873
68	211	2854
69	213	2840
70	215	2824
71	218	2813
72	220	2800
73	221	2772
74	223	2755
75	225	2745
76	228	2739
77	230	2724
78	232	2713
79	233	2685
80	235	2677
81	238	2665
82	239	2650
83	241	2635
84	242	2610
85	244	2594
86	246	2583
87	248	2572
88	249	2556
89	251	2543
90	252	2522
91	254	2510
92	256	2503
93	258	2493
94	260	2484
95	263	2481
96	266	2479
97	268	2470
98	270	2463
99	272	2452
100	273	2433
101	275	2425
102	277	2418
103	280	2413
104	282	2405
105	284	2398
106	286	2391
107	289	2390
108	291	2385
109	293	2375
110	296	2372
111	298	2365
112	300	2358
113	301	2343
114	303	2336
115	305	2330
116	308	2325
117	310	2319
118	312	2315
119	314	2307
120	317	2303
121	319	2300
122	322	2296
123	323	2288
124	326	2282
125	328	2279
126	330	2274
127	333	2270
128	336	2274
129	340	2276
130	342	2272
131	345	2272
132	346	2261
133	348	2253
134	350	2246
135	352	2241
136	354	2234
137	355	2223
138	357	2216
139	359	2211
140	362	2207
141	364	2203
142	366	2198
143	369	2195
144	371	2189
145	373	2181
146	375	2180
147	377	2175
148	380	2170
149	382	2166
150	384	2162
151	386	2158
152	389	2154
153	392	2158
154	395	2156
155	398	2155
156	400	2150
157	402	2147
158	404	2138
159	405	2128
160	407	2123
161	409	2119
162	412	2116
163	413	2108
164	416	2107
165	418	2103
166	420	2099
167	421	2089
168	424	2085
169	425	2076
170	427	2070
171	429	2068
172	432	2065
173	434	2064
174	437	2063
175	438	2055
176	440	2048
177	442	2045
178	445	2042
179	447	2036
180	449	2033
181	451	2028
182	454	2028
183	455	2021
184	458	2017
185	462	2022
186	464	2020
187	466	2016
188	469	2013
189	471	2010
190	473	2006
191	476	2003
192	478	1999
193	480	1995
194	482	1990
195	484	1988
196	486	1984
197	488	1980
198	492	1980
199	494	1976
200	496	1973
201	499	1971
202	502	1972
203	504	1969
204	507	1968
205	509	1963
206	510	1957
207	513	1953
208	516	1953
209	518	1950
210	520	1946
211	522	1943
212	524	1938
213	526	1934
214	528	1931
215	531	1928
216	533	1924
217	535	1919
218	537	1915
219	544	1929
220	547	1930
221	550	1929
222	553	1927
223	555	1922
224	556	1918
225	558	1914
226	560	1909
227	563	1907
228	565	1904
229	568	1903
230	572	1906
231	575	1905
232	579	1906
233	582	1905
234	586	1909
235	589	1907
236	592	1907
237	597	1912
238	602	1918
239	604	1914
240	608	1917
241	611	1916
242	617	1923
243	619	1918
244	621	1914
245	624	1913
246	628	1914
247	633	1920
248	636	1919
249	639	1918
250	643	1921
251	646	1919
252	649	1918
253	652	1916
254	655	1914
255	659	1917
256	662	1914
257	666	1917
258	671	1920
259	674	1920
260	679	1923
261	681	1920
262	684	1919
263	688	1920
264	695	1928
265	698	1926
266	701	1926
267	705	1926
268	711	1932
269	715	1934
270	719	1935
271	721	1932
272	725	1932
273	728	1929
274	731	1927
275	734	1925
276	737	1923
277	738	1917
278	739	1910
279	741	1905
280	743	1902
281	744	1895
282	746	1890
283	748	1887
284	751	1884
285	753	1881
286	759	1885
287	762	1885
288	764	1881
289	768	1882
290	772	1880
291	775	1880
292	778	1877
293	780	1874
294	782	1870
295	784	1866
296	786	1862
297	790	1861
298	792	1856
299	793	1851
300	795	1847
301	797	1844
302	799	1840
303	801	1835
304	803	1832
305	805	1827
